Abec,https://www.medindia.net/drug-price/abacavir/abec.htm,Abacavir is an antiviral drug used to treat AIDS/HIV infection by acting on the enzyme called reverse transcriptase. Abacavir will not cure the HIV infection but reduces the viral load and delays the progression of the disease.             ,500,300mg,10 Tablets,AIDS/HIV| Cold Sores| Oral Health And AIDS| ," Treatment of HIV-1/AIDS along with other medications. Dose in adults is 600 mg daily, as a single dose or divided into two doses.",It comes as a tablet to take with or without food.  It is also available in combination with other anti-HIV drugs., Moderate to severe liver disease Previous allergic reaction to abacavir,"Caution is advised when used in patients with history of depression or at risk for heart disease. Avoid use with alcohol. Take along with other anti-HIV drugs and not alone, to prevent resistance. Continue other precautions to prevent spread of HIV infection.","Monitor and treat the signs of lactic acidosis such as upset stomach, fluctuations in heartbeat,unexplained muscle pain, and difficulty in breathing. Patient's body fat and cardiac parameters should be measured regularly to avoid heart related illness.",Store at room temperature (20° to 25°C). 
Abcavir,https://www.medindia.net/drug-price/abacavir/abcavir.htm,Abacavir is an antiviral drug used to treat AIDS/HIV infection by acting on the enzyme called reverse transcriptase. Abacavir will not cure the HIV infection but reduces the viral load and delays the progression of the disease.             ,600,300mg,10 Tablets,AIDS/HIV| Cold Sores| Oral Health And AIDS| ," Treatment of HIV-1/AIDS along with other medications. Dose in adults is 600 mg daily, as a single dose or divided into two doses.",It comes as a tablet to take with or without food.  It is also available in combination with other anti-HIV drugs., Moderate to severe liver disease Previous allergic reaction to abacavir,"Caution is advised when used in patients with history of depression or at risk for heart disease. Avoid use with alcohol. Take along with other anti-HIV drugs and not alone, to prevent resistance. Continue other precautions to prevent spread of HIV infection.","Monitor and treat the signs of lactic acidosis such as upset stomach, fluctuations in heartbeat,unexplained muscle pain, and difficulty in breathing. Patient's body fat and cardiac parameters should be measured regularly to avoid heart related illness.",Store at room temperature (20° to 25°C). 
Abavir,https://www.medindia.net/drug-price/abacavir/abavir.htm,Abacavir is an antiviral drug used to treat AIDS/HIV infection by acting on the enzyme called reverse transcriptase. Abacavir will not cure the HIV infection but reduces the viral load and delays the progression of the disease.             ,470,300mg,10 Tablets,AIDS/HIV| Cold Sores| Oral Health And AIDS| ," Treatment of HIV-1/AIDS along with other medications. Dose in adults is 600 mg daily, as a single dose or divided into two doses.",It comes as a tablet to take with or without food.  It is also available in combination with other anti-HIV drugs., Moderate to severe liver disease Previous allergic reaction to abacavir,"Caution is advised when used in patients with history of depression or at risk for heart disease. Avoid use with alcohol. Take along with other anti-HIV drugs and not alone, to prevent resistance. Continue other precautions to prevent spread of HIV infection.","Monitor and treat the signs of lactic acidosis such as upset stomach, fluctuations in heartbeat,unexplained muscle pain, and difficulty in breathing. Patient's body fat and cardiac parameters should be measured regularly to avoid heart related illness.",Store at room temperature (20° to 25°C). 
Virol,https://www.medindia.net/drug-price/abacavir/virol.htm,Abacavir is an antiviral drug used to treat AIDS/HIV infection by acting on the enzyme called reverse transcriptase. Abacavir will not cure the HIV infection but reduces the viral load and delays the progression of the disease.             ,"4,700.00",300mg,60 Tablets,AIDS/HIV| Cold Sores| Oral Health And AIDS| ," Treatment of HIV-1/AIDS along with other medications. Dose in adults is 600 mg daily, as a single dose or divided into two doses.",It comes as a tablet to take with or without food.  It is also available in combination with other anti-HIV drugs., Moderate to severe liver disease Previous allergic reaction to abacavir,"Caution is advised when used in patients with history of depression or at risk for heart disease. Avoid use with alcohol. Take along with other anti-HIV drugs and not alone, to prevent resistance. Continue other precautions to prevent spread of HIV infection.","Monitor and treat the signs of lactic acidosis such as upset stomach, fluctuations in heartbeat,unexplained muscle pain, and difficulty in breathing. Patient's body fat and cardiac parameters should be measured regularly to avoid heart related illness.",Store at room temperature (20° to 25°C). 
Abec (300mg),https://www.medindia.net/drug-price/abacavir/abec-300mg.htm,Abacavir is an antiviral drug used to treat AIDS/HIV infection by acting on the enzyme called reverse transcriptase. Abacavir will not cure the HIV infection but reduces the viral load and delays the progression of the disease.             ,"1,500.00",300mg,30,AIDS/HIV| Cold Sores| Oral Health And AIDS| ," Treatment of HIV-1/AIDS along with other medications. Dose in adults is 600 mg daily, as a single dose or divided into two doses.",It comes as a tablet to take with or without food.  It is also available in combination with other anti-HIV drugs., Moderate to severe liver disease Previous allergic reaction to abacavir,"Caution is advised when used in patients with history of depression or at risk for heart disease. Avoid use with alcohol. Take along with other anti-HIV drugs and not alone, to prevent resistance. Continue other precautions to prevent spread of HIV infection.","Monitor and treat the signs of lactic acidosis such as upset stomach, fluctuations in heartbeat,unexplained muscle pain, and difficulty in breathing. Patient's body fat and cardiac parameters should be measured regularly to avoid heart related illness.",Store at room temperature (20° to 25°C). 
Abamune (300mg),https://www.medindia.net/drug-price/abacavir/abamune-300mg.htm,Abacavir is an antiviral drug used to treat AIDS/HIV infection by acting on the enzyme called reverse transcriptase. Abacavir will not cure the HIV infection but reduces the viral load and delays the progression of the disease.             ,"1,444.50",300mg,30,AIDS/HIV| Cold Sores| Oral Health And AIDS| ," Treatment of HIV-1/AIDS along with other medications. Dose in adults is 600 mg daily, as a single dose or divided into two doses.",It comes as a tablet to take with or without food.  It is also available in combination with other anti-HIV drugs., Moderate to severe liver disease Previous allergic reaction to abacavir,"Caution is advised when used in patients with history of depression or at risk for heart disease. Avoid use with alcohol. Take along with other anti-HIV drugs and not alone, to prevent resistance. Continue other precautions to prevent spread of HIV infection.","Monitor and treat the signs of lactic acidosis such as upset stomach, fluctuations in heartbeat,unexplained muscle pain, and difficulty in breathing. Patient's body fat and cardiac parameters should be measured regularly to avoid heart related illness.",Store at room temperature (20° to 25°C). 
Abamune,https://www.medindia.net/drug-price/abacavir/abamune.htm,Abacavir is an antiviral drug used to treat AIDS/HIV infection by acting on the enzyme called reverse transcriptase. Abacavir will not cure the HIV infection but reduces the viral load and delays the progression of the disease.             ,"2,205.00",300mg,30 Tablets,AIDS/HIV| Cold Sores| Oral Health And AIDS| ," Treatment of HIV-1/AIDS along with other medications. Dose in adults is 600 mg daily, as a single dose or divided into two doses.",It comes as a tablet to take with or without food.  It is also available in combination with other anti-HIV drugs., Moderate to severe liver disease Previous allergic reaction to abacavir,"Caution is advised when used in patients with history of depression or at risk for heart disease. Avoid use with alcohol. Take along with other anti-HIV drugs and not alone, to prevent resistance. Continue other precautions to prevent spread of HIV infection.","Monitor and treat the signs of lactic acidosis such as upset stomach, fluctuations in heartbeat,unexplained muscle pain, and difficulty in breathing. Patient's body fat and cardiac parameters should be measured regularly to avoid heart related illness.",Store at room temperature (20° to 25°C). 
Abavir (300mg),https://www.medindia.net/drug-price/abacavir/abavir-300mg.htm,Abacavir is an antiviral drug used to treat AIDS/HIV infection by acting on the enzyme called reverse transcriptase. Abacavir will not cure the HIV infection but reduces the viral load and delays the progression of the disease.             ,"1,410.00",300mg,30,AIDS/HIV| Cold Sores| Oral Health And AIDS| ," Treatment of HIV-1/AIDS along with other medications. Dose in adults is 600 mg daily, as a single dose or divided into two doses.",It comes as a tablet to take with or without food.  It is also available in combination with other anti-HIV drugs., Moderate to severe liver disease Previous allergic reaction to abacavir,"Caution is advised when used in patients with history of depression or at risk for heart disease. Avoid use with alcohol. Take along with other anti-HIV drugs and not alone, to prevent resistance. Continue other precautions to prevent spread of HIV infection.","Monitor and treat the signs of lactic acidosis such as upset stomach, fluctuations in heartbeat,unexplained muscle pain, and difficulty in breathing. Patient's body fat and cardiac parameters should be measured regularly to avoid heart related illness.",Store at room temperature (20° to 25°C). 
Abmune,https://www.medindia.net/drug-price/abacavir/abmune.htm,Abacavir is an antiviral drug used to treat AIDS/HIV infection by acting on the enzyme called reverse transcriptase. Abacavir will not cure the HIV infection but reduces the viral load and delays the progression of the disease.             ,735,300mg,10 Tablets,AIDS/HIV| Cold Sores| Oral Health And AIDS| ," Treatment of HIV-1/AIDS along with other medications. Dose in adults is 600 mg daily, as a single dose or divided into two doses.",It comes as a tablet to take with or without food.  It is also available in combination with other anti-HIV drugs., Moderate to severe liver disease Previous allergic reaction to abacavir,"Caution is advised when used in patients with history of depression or at risk for heart disease. Avoid use with alcohol. Take along with other anti-HIV drugs and not alone, to prevent resistance. Continue other precautions to prevent spread of HIV infection.","Monitor and treat the signs of lactic acidosis such as upset stomach, fluctuations in heartbeat,unexplained muscle pain, and difficulty in breathing. Patient's body fat and cardiac parameters should be measured regularly to avoid heart related illness.",Store at room temperature (20° to 25°C). 
Abamune-L (600mg/300mg),https://www.medindia.net/drug-price/abacavir/abamune-l-600mg-300mg.htm,Abacavir is an antiviral drug used to treat AIDS/HIV infection by acting on the enzyme called reverse transcriptase. Abacavir will not cure the HIV infection but reduces the viral load and delays the progression of the disease.             ,"2,950.00",600mg/300mg,30,AIDS/HIV| Cold Sores| Oral Health And AIDS| ," Treatment of HIV-1/AIDS along with other medications. Dose in adults is 600 mg daily, as a single dose or divided into two doses.",It comes as a tablet to take with or without food.  It is also available in combination with other anti-HIV drugs., Moderate to severe liver disease Previous allergic reaction to abacavir,"Caution is advised when used in patients with history of depression or at risk for heart disease. Avoid use with alcohol. Take along with other anti-HIV drugs and not alone, to prevent resistance. Continue other precautions to prevent spread of HIV infection.","Monitor and treat the signs of lactic acidosis such as upset stomach, fluctuations in heartbeat,unexplained muscle pain, and difficulty in breathing. Patient's body fat and cardiac parameters should be measured regularly to avoid heart related illness.",Store at room temperature (20° to 25°C). 
