Adnet,https://www.medindia.net/drug-price/adenosine/adnet.htm
Carnosine,https://www.medindia.net/drug-price/adenosine/carnosine.htm
Adenocor,https://www.medindia.net/drug-price/adenosine/adenocor.htm
Adnet (3 mg),https://www.medindia.net/drug-price/adenosine/adnet-3-mg.htm
Tachyban,https://www.medindia.net/drug-price/adenosine/tachyban.htm
Adenoz,https://www.medindia.net/drug-price/adenosine/adenoz.htm
Adenoject,https://www.medindia.net/drug-price/adenosine/adenoject.htm
Adenoject (6mg),https://www.medindia.net/drug-price/adenosine/adenoject-6mg.htm
Carnosine (30 mg),https://www.medindia.net/drug-price/adenosine/carnosine-30-mg.htm
Adenoject (3 mg),https://www.medindia.net/drug-price/adenosine/adenoject-3-mg.htm
